drug_a,drug_b,interaction_type,severity,description
Warfarin,Aspirin,drug-drug,HIGH,"Combining warfarin and aspirin greatly increases bleeding risk. Avoid unless directed by a doctor."
Warfarin,Ibuprofen,drug-drug,HIGH,"NSAIDs like ibuprofen increase bleeding risk when taken with warfarin."
Warfarin,Naproxen,drug-drug,HIGH,"Naproxen can displace warfarin from proteins, increasing anticoagulant effect."
Metformin,Alcohol,drug-alcohol,HIGH,"Alcohol with metformin increases risk of lactic acidosis, a dangerous condition."
Simvastatin,Grapefruit Juice,drug-food,MODERATE,"Grapefruit juice inhibits enzymes that break down simvastatin, causing toxic buildup."
Atorvastatin,Grapefruit Juice,drug-food,MODERATE,"Grapefruit juice raises atorvastatin levels in the blood significantly."
Lisinopril,Potassium Supplement,drug-food,MODERATE,"ACE inhibitors like lisinopril raise potassium; extra potassium supplements can be dangerous."
Lisinopril,Bananas,drug-food,LOW,"High potassium foods like bananas can interact mildly with ACE inhibitors."
Lisinopril,Salt Substitutes,drug-food,MODERATE,"Many salt substitutes contain potassium chloride, which may cause hyperkalemia with ACE inhibitors."
Ciprofloxacin,Dairy Products,drug-food,MODERATE,"Dairy calcium can reduce ciprofloxacin absorption. Take 2 hours before or after dairy."
Ciprofloxacin,Antacids,drug-drug,MODERATE,"Antacids with calcium or magnesium reduce ciprofloxacin absorption."
Levothyroxine,Coffee,drug-food,MODERATE,"Coffee can reduce levothyroxine absorption. Take thyroid medication 30-60 minutes before coffee."
Levothyroxine,Calcium Supplements,drug-drug,MODERATE,"Calcium can bind to levothyroxine and reduce absorption. Space doses 4 hours apart."
Levothyroxine,Antacids,drug-drug,MODERATE,"Antacids reduce levothyroxine absorption. Space doses by at least 4 hours."
Methotrexate,Alcohol,drug-alcohol,HIGH,"Alcohol increases risk of liver damage when combined with methotrexate. Avoid alcohol completely."
Methotrexate,NSAIDs,drug-drug,HIGH,"NSAIDs like ibuprofen reduce methotrexate excretion, causing toxic levels."
SSRIs,Tramadol,drug-drug,HIGH,"Combining SSRIs with tramadol can cause serotonin syndrome, a potentially life-threatening condition."
SSRIs,MAOIs,drug-drug,CRITICAL,"Combining SSRIs with MAOIs can cause fatal serotonin syndrome. Never take together."
Fluoxetine,St. John's Wort,drug-food,HIGH,"St. John's Wort increases serotonin and combined with fluoxetine can cause serotonin syndrome."
Sertraline,Alcohol,drug-alcohol,MODERATE,"Alcohol can increase sedative effects and worsen depression when taken with sertraline."
Amoxicillin,Alcohol,drug-alcohol,LOW,"Alcohol does not significantly interact with amoxicillin but may worsen side effects like nausea."
Tetracycline,Dairy Products,drug-food,HIGH,"Calcium in dairy products binds to tetracycline and prevents absorption. Avoid dairy near dose time."
Tetracycline,Iron Supplements,drug-drug,HIGH,"Iron binds to tetracycline and reduces its absorption and effectiveness."
Digoxin,High-Fiber Foods,drug-food,MODERATE,"High fiber foods (bran, oats) can reduce digoxin absorption. Maintain consistent diet."
Digoxin,Licorice,drug-food,HIGH,"Licorice can lower potassium levels, increasing digoxin toxicity risk."
MAOIs,Tyramine Foods,drug-food,CRITICAL,"Foods high in tyramine (aged cheese, red wine, cured meats) with MAOIs can cause dangerous blood pressure spikes."
MAOIs,Red Wine,drug-alcohol,CRITICAL,"Red wine contains tyramine which can cause hypertensive crisis with MAOI antidepressants."
MAOIs,Aged Cheese,drug-food,CRITICAL,"Aged cheeses are high in tyramine which interacts fatally with MAOIs."
Clopidogrel,Omeprazole,drug-drug,MODERATE,"Omeprazole reduces the effectiveness of clopidogrel by inhibiting its activation enzyme."
Statins,Alcohol,drug-alcohol,MODERATE,"Regular alcohol use with statins increases risk of liver damage."
Metronidazole,Alcohol,drug-alcohol,HIGH,"Combining metronidazole with alcohol causes severe nausea, vomiting, and flushing (disulfiram-like reaction)."
Tinidazole,Alcohol,drug-alcohol,HIGH,"Like metronidazole, tinidazole causes severe reactions with alcohol. Avoid for 3 days after last dose."
Amlodipine,Grapefruit Juice,drug-food,MODERATE,"Grapefruit juice increases amlodipine blood levels, potentially causing low blood pressure."
Buspirone,Grapefruit Juice,drug-food,MODERATE,"Grapefruit juice significantly increases buspirone levels, increasing side effects."
Felodipine,Grapefruit Juice,drug-food,HIGH,"One of the most sensitive drugs to grapefruit juice interaction. Blood levels can triple."
Cyclosporine,Grapefruit Juice,drug-food,HIGH,"Grapefruit juice dramatically increases cyclosporine levels, causing toxicity."
Tacrolimus,Grapefruit Juice,drug-food,HIGH,"Grapefruit juice markedly increases tacrolimus blood levels."
Warfarin,Vitamin K Foods,drug-food,HIGH,"Foods high in vitamin K (kale, spinach, broccoli) reduce warfarin effectiveness. Keep intake consistent."
Warfarin,Cranberry Juice,drug-food,MODERATE,"Cranberry juice may increase warfarin effect and raise bleeding risk."
Warfarin,Alcohol,drug-alcohol,MODERATE,"Occasional alcohol may slightly increase warfarin effect; heavy use unpredictably alters INR."
Sildenafil,Nitrates,drug-drug,CRITICAL,"Combining sildenafil (Viagra) with nitrates can cause a dangerous and potentially fatal drop in blood pressure."
Benzodiazepines,Alcohol,drug-alcohol,HIGH,"Both are CNS depressants. Combined they can cause extreme sedation, respiratory depression, or death."
Opioids,Alcohol,drug-alcohol,CRITICAL,"Combining opioids with alcohol severely increases risk of respiratory depression and death."
Opioids,Benzodiazepines,drug-drug,CRITICAL,"This combination is responsible for many overdose deaths. Both suppress breathing."
Lithium,Ibuprofen,drug-drug,HIGH,"NSAIDs raise lithium levels in the blood, causing toxicity."
Lithium,Caffeine,drug-food,LOW,"High caffeine intake followed by sudden reduction can raise lithium levels."
Lithium,High Sodium Diet,drug-food,LOW,"High sodium diets lower lithium levels; low sodium raises them. Maintain consistent salt intake."
Doxycycline,Antacids,drug-drug,HIGH,"Antacids significantly reduce doxycycline absorption. Space doses by at least 2 hours."
Doxycycline,Dairy Products,drug-food,MODERATE,"Dairy reduces doxycycline absorption though less so than with tetracycline."
Phenytoin,Alcohol,drug-alcohol,HIGH,"Alcohol can both increase and decrease phenytoin levels unpredictably, increasing seizure risk."
Phenytoin,Grapefruit Juice,drug-food,LOW,"Grapefruit has minor interaction with phenytoin; still worth monitoring."
Carbamazepine,Grapefruit Juice,drug-food,HIGH,"Grapefruit juice significantly increases carbamazepine levels, raising toxicity risk."
Carbamazepine,Alcohol,drug-alcohol,HIGH,"Alcohol may reduce seizure threshold and interact with carbamazepine metabolism."
Ibuprofen,Alcohol,drug-alcohol,MODERATE,"Alcohol increases risk of stomach bleeding when combined with ibuprofen."
Aspirin,Alcohol,drug-alcohol,MODERATE,"Alcohol combined with aspirin increases stomach bleeding risk."
Spironolactone,Potassium Supplement,drug-drug,HIGH,"Spironolactone retains potassium; adding potassium supplements can cause dangerous hyperkalemia."
Spironolactone,Salt Substitutes,drug-food,HIGH,"Potassium-based salt substitutes can cause dangerous potassium buildup with spironolactone."
Prednisone,Alcohol,drug-alcohol,MODERATE,"Alcohol with prednisone increases risk of stomach ulcers and immune suppression."
Prednisone,NSAIDs,drug-drug,HIGH,"NSAIDs combined with corticosteroids greatly increase risk of gastrointestinal bleeding."
Ketoconazole,Antacids,drug-drug,HIGH,"Antacids reduce the absorption of ketoconazole by reducing stomach acid needed for dissolution."
Rifampin,Oral Contraceptives,drug-drug,HIGH,"Rifampin reduces the effectiveness of birth control pills by speeding up their metabolism."
